promoId,rname,startDate,endDate,discount
Cool grab meal,Taco Mayo,2019-12-28,2020-09-21,30
Good stay meal,Omega Drive-In,2020-05-28,2020-09-07,50
Chill grab meal,A & W Family Restaurant,2019-12-13,2020-09-09,5
White rest snack,Sarku Japan,2020-02-10,2020-04-09,20
Romantic quarantine order,Thunder Ridge Ampride,2019-11-17,2020-01-19,15
Crazy rest food,Sheetz,2019-11-07,2020-07-08,55
Good quarantine snack,Nielsen's Frozen Custard,2020-08-24,2020-09-10,10
Chill rest order,Sheetz,2020-07-18,2020-09-05,30
White home food,Old Country Buffet,2019-11-12,2020-09-08,50
Crazy stay meal,Chick-Fil-A,2020-05-29,2020-06-23,55
Smart quarantine meal,Dawg House Grill,2020-02-19,2020-04-08,50
Crazy grab meal,Regal Cinemas Tikahtnu  16 IMAX & RPX,2020-10-06,2020-10-15,5
Chill quarantine food,Dunkin Donuts,2020-03-04,2020-10-25,5
Blue home order,Dunkin' Donuts,2020-05-04,2020-08-21,45
Cool rest item,Tropical Smoothie Cafe,2019-12-02,2020-05-27,40
Amazing grab snack,Papagus Gyros,2020-03-20,2020-06-08,50
Special home meal,Kim Lee Fast Food,2020-04-14,2020-07-08,25
Special holiday order,Samurai Sam's,2019-12-28,2020-07-10,10
Special stay meal,Blimpie,2020-08-12,2020-08-30,40
Hot holiday food,name,2020-02-01,2020-05-22,10
Amazing vacay item,Redbox,2019-12-08,2020-10-22,10
Super grab item,Moe's Original Bar B Que,2020-04-06,2020-09-22,5
Amazing stay meal,Goodcents Deli Fresh Subs,2019-11-29,2020-04-01,45
Great quarantine order,Rallys,2020-02-22,2020-08-25,55
Perfect holiday snack,The Pizza Pipe Line,2020-03-02,2020-03-05,35
Crazy grab snack,Papa Johns Pizza,2019-11-30,2020-10-19,25
Blue rest order,Bamboo Bistro,2020-04-06,2020-08-03,15
Amazing quarantine meal,Dan's Seafood & Chicken,2019-11-14,2020-01-14,45
Cool vacay order,Frisch's Big Boy,2020-07-17,2020-07-23,10
Perfect grab order,Auntie Anne's,2020-05-08,2020-10-17,5
Blue day meal,The Biscuit Factory,2019-11-26,2019-12-08,30
Crazy holiday food,Long John Silvers,2019-11-16,2020-06-04,50
Smart grab food,Einstein Bros Bagels,2019-12-28,2020-09-03,25
White day food,Meatheads,2020-04-17,2020-08-03,55
Good stay meal,The Pita Pit,2019-11-09,2020-03-22,10
Smart day order,Jimmy John's,2019-12-08,2020-04-21,25
White vacay snack,D'angelo Grilled Sandwiches,2020-07-18,2020-08-20,35
Perfect holiday meal,Port Of Subs,2020-03-22,2020-04-20,55
Romantic grab item,Scoopers,2019-11-14,2020-03-16,15
Crazy stay item,Church's Chicken,2020-06-01,2020-08-08,40
Chill home snack,Sarku Japan,2020-06-03,2020-07-30,40
Hot home order,Flip Burger Bar,2020-03-07,2020-09-29,50
White rest snack,Gabby's Burgers & Fries,2020-02-29,2020-09-14,30
Super grab food,Burger King Salou,2020-01-19,2020-01-25,45
White rest meal,Saladworks,2020-02-25,2020-09-24,15
Super stay food,A&W All-American Food,2020-08-05,2020-09-01,20
White home food,Pita Pit,2020-01-25,2020-09-23,25
Crazy grab food,Whataburger,2020-06-07,2020-08-16,5
Super home food,KFC - Kentucky Fried Chicken,2020-08-28,2020-10-08,20
Blue rest food,Bad Daddys Burger Bar,2019-12-26,2020-07-31,55
Amazing stay snack,Ryan's,2019-11-01,2020-09-02,25
Crazy grab meal,Jim Bob's Chicken Fingers,2020-04-16,2020-06-26,10
Super day snack,Chuck Wagon,2019-12-22,2020-08-30,15
Smart holiday snack,Garden Fast Food,2020-07-01,2020-07-17,40
Smart rest order,World Wrapps,2020-02-23,2020-05-26,20
Romantic day order,Freddy's Steakburger,2020-04-16,2020-09-29,45
Hot quarantine meal,Popeyes Louisiana Kitchen,2020-04-28,2020-08-05,50
Good day item,St Louis Original Hamburgers,2020-09-13,2020-10-08,40
Amazing day order,Old Country Buffet,2020-02-21,2020-03-26,50
Good quarantine snack,KFC,2020-03-01,2020-05-31,35
Perfect rest order,Firehouse Subs,2019-11-13,2019-12-19,25
Super vacay order,Hardee's / Red Burrito / Dough Boys,2020-02-17,2020-08-17,5
Super home meal,Kings Contrivance Jewelers,2019-11-26,2020-02-23,20
Cool day meal,Tom & Jerry's,2020-03-25,2020-09-27,40
Special vacay meal,Moe's Southwest Grill,2020-03-21,2020-10-26,30
Blue quarantine snack,Home Town Buffet,2020-01-31,2020-10-20,25
Good vacay item,Iceberg Drive Inn,2019-12-24,2020-02-19,20
Cool vacay meal,Pita Pit,2019-12-05,2020-07-22,45
Romantic vacay food,A&w Restaurant,2020-01-08,2020-06-06,45
Super holiday meal,A&W,2020-01-29,2020-10-27,50
Amazing rest snack,Boston Market,2019-12-03,2020-01-13,20
Good stay item,Einstein Bros Bagels,2020-06-06,2020-06-13,35
Smart quarantine meal,Cousins Subs of Green Bay - Oneida St. & Ramada Way,2019-12-11,2020-10-17,55
Smart quarantine snack,St Louis Original Hamburgers,2019-11-05,2019-12-25,50
Crazy holiday order,Quizno's +,2020-03-27,2020-07-04,25
Amazing quarantine order,Papa John's,2019-11-12,2019-12-15,15
Crazy holiday item,Mazatlan Mexican Restaurant,2020-02-23,2020-10-15,25
White stay order,Schlotzsky's,2020-04-28,2020-10-10,30
Crazy day meal,Penguin Point,2020-02-15,2020-03-03,50
Chill holiday meal,A&W All-American Food,2020-02-06,2020-08-04,5
Perfect stay order,Ll Hawaiian Barbecue,2019-12-19,2020-03-20,45
Crazy holiday snack,Gold Star Chili,2020-02-01,2020-10-01,45
Hot holiday snack,Milo's Hamburgers,2020-04-25,2020-08-30,10
Crazy grab food,Cinnabon,2019-12-10,2020-09-26,5
Great rest meal,Domino's Pizza,2020-04-16,2020-09-19,55
Blue rest item,Bob Evans Restaurant,2020-02-06,2020-10-17,35
Super home order,DQ Grill & Chill,2020-01-28,2020-04-30,25
Smart vacay meal,Windmill Gourmet Fast Foods,2020-06-27,2020-07-25,5
White grab meal,P. Terry's,2020-05-03,2020-05-14,20
Good day food,Hot Dog on a Stick,2019-12-12,2020-03-14,10
Amazing grab item,Boston Market 381,2020-02-11,2020-08-18,15
Hot home order,Wingstop,2019-12-07,2020-08-11,5
Great rest order,Charlie Browns,2020-03-06,2020-09-13,10
Good day food,Flip Burger Bar,2020-04-23,2020-10-22,15
Cool quarantine snack,Denton's,2020-06-10,2020-07-30,10
Blue grab meal,Chick-fil-a Magnolia Mall,2019-11-05,2020-06-12,10
Romantic quarantine meal,Krystal,2020-05-31,2020-07-03,5
Crazy holiday snack,Vista Drive In,2019-11-08,2019-11-30,5
Good rest meal,Dairy Freeze,2020-03-21,2020-06-08,55
Cool vacay meal,Del Taco,2019-11-06,2020-01-15,50
Cool quarantine food,Nick's Burgers,2020-02-20,2020-03-03,20
Great quarantine food,Sonic Drive-in (trailer),2019-11-16,2020-03-31,5
Good rest food,Royal Buffet,2020-05-03,2020-08-28,30
Cool grab meal,Rancher's Roast Beef Inc.,2019-12-25,2020-01-04,35
Crazy day meal,Buds Chicken & Seafood,2020-01-30,2020-08-28,55
Perfect holiday order,Pita Pit,2020-01-02,2020-09-13,20
White home snack,Your Healthy Habit,2020-04-20,2020-09-08,25
Amazing holiday order,Papa Johns Pizza,2020-02-13,2020-08-20,45
Chill rest item,Cypress Best,2020-03-22,2020-09-15,5
Good vacay snack,Carl's Jr - Green Burrito,2020-02-27,2020-06-20,35
Chill rest snack,Pizza Factory,2020-06-24,2020-10-05,55
Chill day snack,Checkers,2020-03-15,2020-03-21,25
White grab item,Rapid Ray's,2020-01-02,2020-02-28,20
Amazing day meal,Subway Sandwiches,2019-11-29,2020-02-03,5
Chill holiday order,Rafael's,2020-01-02,2020-07-19,50
Smart rest meal,Scoopers,2019-12-22,2020-02-28,40
Crazy stay snack,Islands Restaurant,2019-12-14,2020-07-18,5
Special rest food,Long John Silvers,2020-01-06,2020-08-18,10
Hot day snack,McDonald's,2020-02-06,2020-06-15,30
Smart quarantine order,Five Guys,2020-07-23,2020-10-24,55
Blue rest item,Blimpie,2020-01-23,2020-04-17,40
Crazy vacay food,Carl's / Green Burrito,2020-08-28,2020-10-28,5
Amazing vacay order,Dairy Queen,2019-11-09,2020-07-07,40
Crazy home item,7-11,2019-11-06,2020-07-19,45
White quarantine snack,Popeye's Chicken & Biscuits,2020-02-14,2020-04-05,20
Cool quarantine snack,Jolly's Drive-In,2019-11-15,2020-05-26,55
Super vacay order,Ll Hawaiian Barbecue,2019-11-25,2020-04-29,30
Cool quarantine snack,Rally's Hamburgers,2019-12-30,2020-09-26,25
Amazing day meal,Kerby's Koney Island,2020-01-26,2020-02-22,50
Good holiday snack,Qdoba Mexican Grill,2019-11-30,2020-09-07,30
Amazing day order,Peking Wok,2020-02-06,2020-03-05,30
Great home order,Loco Moco Drive-Inn,2020-06-12,2020-09-19,5
Blue stay food,Home Town Buffet,2020-01-14,2020-04-17,45
Cool vacay snack,Baker's Drive Thru,2020-05-16,2020-06-14,5
Hot day item,Pizza Express,2020-01-13,2020-05-06,50
Cool stay meal,Coop DeVille,2019-12-10,2020-07-21,5
Super stay order,Roly Poly,2020-04-06,2020-07-31,45
Great quarantine snack,Mocha Express,2019-12-02,2020-03-20,40
Romantic day food,Cafe Rio,2019-12-15,2020-05-10,50
Hot quarantine food,Pacific Rim,2020-05-10,2020-10-11,25
Perfect vacay order,Taco Time,2020-06-22,2020-09-22,15
Blue quarantine snack,Garden Fast Food,2020-02-27,2020-05-14,5
Good day item,Rahway Chicken & Burger Inc,2020-06-17,2020-07-10,55
Smart vacay food,KFC / Taco Bell,2020-06-07,2020-06-17,40
Cool home meal,Seaside Eatery,2020-01-14,2020-02-16,55
Cool day item,Geno's Fast Break,2020-04-08,2020-05-05,55
Blue holiday item,Mc Donald's,2020-04-22,2020-05-20,10
Chill home meal,Bad Daddys Burger Bar,2019-12-24,2020-07-21,55
Romantic rest food,Nathan's Famous,2019-11-26,2020-04-15,10
Crazy holiday snack,Mickey's Gyros & Ribs,2020-05-11,2020-10-27,55
Romantic home food,Boston Market 381,2020-01-29,2020-07-19,55
Good grab snack,Char-Grill,2020-03-22,2020-10-15,20
Special day order,Omega Drive-In,2020-04-27,2020-07-01,25
Romantic rest snack,Jack's,2020-04-16,2020-05-06,10
Romantic quarantine meal,Papa Johns,2020-04-17,2020-06-14,5
Smart holiday food,Cusinera,2019-11-13,2020-08-19,40
White stay item,Rancher's Roast Beef Inc.,2020-02-14,2020-05-21,25
Romantic vacay order,Wetzel's Pretzels,2020-02-25,2020-06-23,25
Perfect rest food,Shoney's on the Go,2019-11-01,2020-07-30,40
Amazing home item,Rocky's,2020-06-12,2020-06-13,35
Super vacay item,The Pita Pit,2019-12-13,2020-02-14,20
Super grab meal,Burger's Landing,2020-07-08,2020-08-29,35
Amazing vacay item,Milo's Hamburgers,2020-06-02,2020-07-17,15
Crazy home food,Jimmy Johns,2019-11-11,2020-02-18,25
Super quarantine snack,Rahway Chicken & Burger Inc,2019-11-09,2020-08-16,20
Chill home order,Runza,2019-11-17,2020-05-31,55
Great vacay item,Chick-fil-a Truett's Luau,2020-06-12,2020-09-13,50
Smart vacay meal,Wienerschnitzel,2019-11-14,2019-12-16,20
Romantic vacay order,Breadeaux Pizza,2019-11-24,2020-07-04,30
Chill quarantine item,Mario's Natural Roman Pizza,2020-01-24,2020-09-10,30
Great vacay meal,Hot Dog on a Stick,2020-01-19,2020-04-17,25
Super day snack,Shot Tower Inn,2020-08-16,2020-09-09,15
Hot rest food,Bob Evans,2020-02-22,2020-09-24,50
White stay meal,Chuck Wagon,2020-05-31,2020-09-19,45
Crazy vacay order,Hardee's / Red Burrito,2020-09-28,2020-10-27,25
Chill grab food,Vista Drive In,2020-01-13,2020-04-29,45
White grab item,Royal Buffet,2019-11-13,2019-12-16,25
Hot quarantine order,Alice's,2020-05-01,2020-06-25,15
Amazing quarantine item,Burger King,2020-02-02,2020-09-23,35
Smart stay meal,Maui Tacos,2020-02-09,2020-04-19,40
White grab item,Simmies Arirang Hill Cheese Steak,2020-01-07,2020-10-12,55
White stay item,Pita Pit,2020-02-21,2020-09-08,30
Super rest item,Wu's Fine Chinese Cuisine,2019-12-09,2020-06-11,40
Special holiday snack,Lime Ricky World,2020-08-17,2020-09-07,45
Blue day food,Red Robin Gourmet Burgers,2020-07-13,2020-07-13,50
Amazing holiday item,Froots,2020-05-03,2020-07-10,20
Super quarantine food,KFC / Taco Bell,2019-11-12,2020-05-29,40
Blue day order,Long John Silver's,2020-02-19,2020-02-29,30
Romantic holiday food,Elevation Burger,2020-01-25,2020-04-21,15
White holiday order,Wendy Two Two Eight,2020-04-06,2020-06-08,45
Special vacay food,Mcdonald's #25557,2019-11-30,2019-12-14,55
Great stay meal,Thunder Ridge Ampride,2020-01-30,2020-08-04,55
Amazing holiday food,Checker's Drive-in Restaurant,2020-06-15,2020-09-26,40
White stay order,Pop-A-Nugget,2020-09-04,2020-09-11,55
Perfect quarantine item,Taco Del Mar,2019-11-28,2020-05-29,30
Cool stay food,Sbarro,2020-01-03,2020-05-17,15
Special grab meal,Subway Sandwiches and Salads,2019-12-17,2020-02-22,10
White rest food,Pick Up Stix,2019-11-09,2020-02-21,45
Cool rest snack,Tom's Grill,2020-06-08,2020-07-04,40
Super quarantine food,Wingstop,2020-05-27,2020-09-26,25
Romantic grab order,Little Caesars Pizza,2020-06-15,2020-07-18,50
White home item,Jolly's Drive-In,2020-05-28,2020-06-24,15
Cool rest meal,Subway Guitars,2019-11-26,2020-06-20,25
Hot day item,In-A-Tub,2020-03-01,2020-07-10,15
Smart home food,Hamburger King,2020-05-11,2020-07-20,45
Perfect quarantine order,China Buddha Inn II,2020-06-10,2020-08-24,15
Perfect stay snack,Strongwater Spirits & Botanicals,2019-12-30,2020-09-03,50
Smart quarantine item,Handy's Lunch,2020-02-21,2020-10-13,45
Amazing home meal,Love's,2020-04-10,2020-10-17,45
Special home food,Sonic Drive-in (trailer),2020-06-09,2020-09-03,25
Great holiday order,Boston Chowda Company,2020-08-16,2020-10-14,10
Blue rest item,Pizza Hut Wingstreet,2019-11-16,2020-02-04,5
Chill home snack,Long John Silvers / A&W,2020-06-07,2020-06-14,55
Romantic home food,Strongwater Spirits & Botanicals,2020-09-23,2020-10-17,45
Super stay item,The Press Club,2020-05-31,2020-05-31,55
Amazing vacay order,Don & Millie's,2019-12-05,2019-12-13,45
Chill vacay food,Redbox,2020-08-17,2020-09-05,50
Blue quarantine order,Carl's / Green Burrito,2020-04-08,2020-05-05,10
Hot holiday snack,Hot Dog on a Stick,2020-02-26,2020-08-29,15
Super day snack,Dairy Queen,2020-01-05,2020-08-05,35
Special quarantine meal,Tommy's Sub Shop,2019-11-16,2020-04-12,25
Super quarantine order,McDonalds,2020-03-28,2020-09-30,25
Smart quarantine item,Islands Restaurant,2019-11-26,2020-02-02,20
Cool holiday item,Sheetz,2019-11-22,2020-05-17,20
Good stay snack,Alice's,2019-11-10,2020-01-13,20
White stay order,Kennedy Fried Chicken & Pizza,2019-12-04,2020-08-10,25
Blue day food,Subway Sandwiches and Salads,2019-11-08,2020-05-26,5
Super vacay item,B. Good,2020-07-11,2020-07-21,10
Amazing quarantine food,King Grill,2020-08-16,2020-09-28,30
Good home food,Don & Millie's,2020-06-04,2020-09-03,35
Romantic holiday order,The Halal Guys,2019-11-30,2019-12-16,35
Good grab snack,Bamboo Bistro,2020-05-03,2020-07-21,55
Amazing home item,Bob Evans,2020-06-27,2020-07-24,55
Chill vacay snack,Omelette House,2020-01-29,2020-04-06,25
Hot vacay snack,Popeye's Chicken & Biscuits,2019-11-30,2020-09-03,25
Hot stay item,QDOBA Mexican Eats,2019-11-22,2019-12-23,20
Smart rest food,Kasa's Pizza,2020-05-10,2020-05-27,55
Special holiday food,Burgerville,2020-06-12,2020-09-04,55
Good holiday snack,Spangle's,2019-11-18,2020-03-15,30
Super quarantine meal,Little Caesar's Pizza Smithfield,2020-01-18,2020-06-26,25
Great holiday item,Carl's Jr / Green Burrito,2019-11-08,2020-01-15,20
Cool stay meal,Rafael's,2020-05-20,2020-06-28,10
Hot day item,Carl's / Green Burrito,2020-06-28,2020-09-28,50
Smart day item,Taco Bell,2020-02-26,2020-06-08,20
Crazy home food,St Louis Original Hamburgers,2020-03-06,2020-08-26,55
Perfect quarantine order,Carl's Jr. / Green Burrito,2019-11-07,2020-02-11,20
Blue day snack,Shoney's on the Go,2020-02-06,2020-07-08,45
Special home snack,Zaxby's,2020-05-19,2020-09-17,30
Perfect grab meal,Lee's Oriental Martial Arts,2020-08-16,2020-09-08,35
Cool stay meal,Taqueria,2019-11-13,2020-07-07,40
Perfect day meal,Saladworks,2019-12-14,2020-05-08,25
Great home snack,Dunkin Donuts,2020-01-13,2020-10-27,30
Good vacay food,Ny Chicken Fish,2019-12-05,2020-02-06,5
White vacay snack,The Press Club,2020-02-17,2020-10-31,50
White stay order,Flash Foods / McDonald's,2019-12-24,2020-01-05,40
Romantic grab snack,Carls Jr. / Green Burrito,2020-03-03,2020-06-10,55
White day item,Taco Bell,2020-01-31,2020-10-17,25
Super day order,Wings And Philly,2020-05-31,2020-09-26,25
Hot holiday snack,Richie's Restaurant,2019-12-15,2020-05-11,5
Hot home meal,Taco Bueno,2020-05-26,2020-08-27,15
Blue quarantine item,BLIMPIE,2020-07-21,2020-08-22,55
Smart holiday food,Tom's Drive In,2020-02-14,2020-08-03,15
Super day food,Taco Del Mar,2020-07-30,2020-08-07,15
Special day food,Hoka Hoka Bento,2020-05-13,2020-08-04,15
Good home food,Twisters,2020-06-06,2020-07-17,5
Cool vacay snack,Nick's Gyros,2020-04-06,2020-05-26,20
Hot holiday item,Bills Place,2020-02-24,2020-04-02,50
Hot holiday snack,Lee's Famous Recipe Chicken,2020-03-22,2020-10-18,25
Great rest snack,Sconecutter,2020-02-26,2020-05-27,30
Great rest food,Sheetz,2020-02-15,2020-08-24,20
White stay meal,Five Guys,2019-11-14,2020-09-30,30
Great stay item,Fab Wings N Burgers,2020-02-04,2020-10-28,10
Hot stay food,Lee's Famous Recipe Chicken,2020-01-13,2020-01-17,45
Good rest meal,Exxon,2020-07-24,2020-08-11,55
Crazy holiday order,Checkers,2020-07-30,2020-10-18,30
Hot vacay meal,Subway Guitars,2019-11-24,2020-03-28,20
Blue day snack,Moe's Southwest Grill,2020-02-02,2020-02-24,50
Cool vacay meal,Osgood's,2020-03-20,2020-10-18,10
Chill vacay food,Sonic Drive In,2020-04-14,2020-04-25,40
Special grab snack,Jack Pirtles Chicken,2020-04-08,2020-04-14,55
Super quarantine food,Quizno's +,2020-02-24,2020-07-10,5
Blue quarantine order,Mazatlan Mexican Restaurant,2020-05-17,2020-10-01,40
Cool home snack,A & W Family Restaurant,2020-07-31,2020-10-19,30
Crazy holiday order,Long John Silver's / A&W,2020-09-06,2020-10-18,50
Smart rest order,Capriotti's Sandwich Shop,2020-04-24,2020-07-23,25
Great day meal,Kennedy Fried Chicken & Pizza,2020-01-25,2020-03-22,5
White holiday item,Popeyes Chicken and Biscuits,2019-12-27,2020-07-22,45
Romantic stay item,name,2020-02-03,2020-08-27,20
Good quarantine snack,Quick,2020-03-21,2020-06-17,30
Chill stay meal,Cook Out,2019-11-22,2020-02-24,5
Crazy grab snack,Nielsen's Frozen Custard,2020-04-04,2020-10-23,30
Smart quarantine meal,Brixton's,2020-06-01,2020-09-25,40
White day order,A&W/Long John Silvers,2020-01-28,2020-02-01,50
Crazy grab food,Luby's,2020-05-08,2020-10-13,10
Hot vacay item,Dan's Seafood & Chicken,2019-11-13,2020-09-16,15
Good holiday snack,Port of Subs,2019-12-28,2020-10-15,45
Perfect stay item,Mr. Hero,2020-09-24,2020-09-26,10
Crazy home snack,Cafe Rio,2020-07-20,2020-10-17,35
Romantic grab food,Mr Char-Burger,2020-05-06,2020-10-21,45
Amazing quarantine snack,Cinnabon,2020-04-04,2020-05-26,50
Crazy day snack,A&W,2020-02-22,2020-03-20,10
Cool quarantine item,Hardee's,2020-05-04,2020-07-19,35
Cool day meal,Mayfair Boardwalk Grill,2020-05-26,2020-06-16,35
Amazing holiday snack,Yum Brands Inc,2020-04-29,2020-07-27,55
Cool grab item,Jim's Coney Island,2020-08-08,2020-08-20,20
Romantic rest food,Jason's Deli,2020-04-14,2020-06-16,5
Great grab food,Taco Casa,2020-04-15,2020-10-23,10
Crazy grab food,Taco Local,2019-12-25,2020-05-26,45
Super stay meal,Quizno's +,2020-02-14,2020-08-19,15
Chill day item,Strongwater Spirits & Botanicals,2020-04-08,2020-09-10,25
Amazing home snack,Checker's Drive-in Restaurant,2020-04-01,2020-05-17,30
Perfect stay snack,Dq Grill & Chill,2020-04-28,2020-10-24,30
Good vacay item,Siam To Go,2020-03-31,2020-06-14,30
Blue vacay food,Wendy Two Two Eight,2020-05-08,2020-08-03,50
Chill rest item,Shloma Inc,2019-12-11,2020-07-17,10
Great grab snack,Pollo Tropical,2020-02-03,2020-04-23,25
Romantic rest meal,Arby's,2020-10-03,2020-10-24,45
Great home snack,Blondies,2020-01-12,2020-06-12,25
Hot home food,Mickey's Gyros & Ribs,2020-02-25,2020-08-12,55
Hot grab order,Mc Donalds,2020-01-01,2020-01-13,5
Blue vacay meal,Baja Fresh,2020-02-06,2020-03-29,50
Romantic home meal,Rahway Chicken & Burger Inc,2020-08-12,2020-09-13,20
Special holiday meal,Wienerschnitzel,2019-12-25,2020-01-13,15
Romantic quarantine order,Cookout,2020-01-22,2020-09-14,20
Amazing stay meal,Milo's Hamburgers,2020-04-29,2020-06-12,5
Blue vacay order,Fuku,2020-03-23,2020-05-05,50
Great holiday food,Burger Time,2020-02-14,2020-07-03,10
Perfect stay item,Fatburger,2020-06-04,2020-10-26,25
Super home meal,Los Verdes,2020-01-23,2020-08-22,20
Amazing day order,In-A-Tub,2020-02-05,2020-03-26,40
Cool day item,Chick-fil-a,2020-04-14,2020-05-14,40
Hot holiday order,Aprisa Mexican Cuisine,2019-12-10,2020-05-02,35
Crazy home item,Firehouse Subs,2020-02-10,2020-09-01,50
Smart rest snack,Pal's Sudden Service,2020-05-15,2020-06-02,55
Special home snack,Ball State Lafollette Dining,2020-05-20,2020-06-27,45
White stay meal,Taco Casa,2019-11-19,2020-07-04,10
Chill quarantine snack,Travelcenters of America,2020-03-01,2020-09-19,30
Hot grab order,Rafael's,2019-11-09,2019-12-29,25
