fname,rname,avail,maxLimit,price
Ayam penyet,Tasty Carryout,70,70,5.0
Chicken wings,Chick-fil-a Orange Avenue,30,30,7.5
Bhajji,McDonald's of Mililani Mauka,100,100,8.5
Mole,Sonic Drive-in (trailer),90,90,6.0
Samgyeopsal,Jersey Mike's Subs,110,110,4.5
Ayam goreng,Handy's Lunch,40,40,6.0
Kaya toast,Simmies Arirang Hill Cheese Steak,100,100,12.0
Cha ca,Gabby's Burgers & Fries,100,100,6.0
Hot and sour soup,B. Good,50,50,9.5
Sundubu jjigae,KFC / Taco Bell,30,30,3.0
Ga tan,Schlotzsky's,100,100,11.5
Hokkien prawn mee,Firehouse Subs,100,100,11.0
Spaghetti Aglio Olio,b.good,80,80,11.5
Vegetable fried rice,Food 4 Less,50,50,12.0
Chilaquiles,Hotdoks,50,50,7.5
Hot and sour soup,Capriotti's Sandwich Shop,30,30,12.0
Paratha,Jolly's Drive-In,60,60,6.0
Spaghetti Bolognese,Tom's Grill,70,70,11.5
Guacamole,Tellers Tap Room & Kitchen,50,50,12.0
Pizza,Lanesplitter Pizza & Pub,90,90,4.0
Bakso,Jamba Juice,70,70,11.0
Sashimi,Checkers,100,100,7.5
Vegetable fried rice,Ll Hawaiian Barbecue,110,110,6.0
Bak chor mee,Ball State Lafollette Dining,50,50,3.0
Nasi goreng,In-N-Out Burger,20,20,7.5
Apple pie,Bravo Tacos,50,50,5.0
Banh khot,Grandy's,70,70,5.0
Soto,Qdoba Mexican Eats,70,70,5.0
Spaghetti Carbonara,Braum's,70,70,9.5
Ramyeon,El Tarasco Mexican Food,40,40,4.0
Rujak cingur,Hungry Andy's,50,50,3.5
Bottarga,Foster's Freeze,50,50,5.5
Bottarga,Braum's,100,100,5.0
Goi cuon,Noodles & Company,40,40,12.0
Chicken galangal soup,Einstein Bros Bagels,100,100,9.0
Soba,Cafe Rio,40,40,5.0
Pozole,Cinnabon,80,80,5.5
Pork bulgogi,Port of Subs,110,110,3.5
Papdi chaat,Nick's Gyros,50,50,9.5
Risotto,Penguin Point,100,100,9.0
Beef soup,Baker's Drive Thru,80,80,11.5
Tacos al pastor,Cook Out,60,60,7.0
Coconut milk curry,Hot Dog On A Stick,90,90,9.5
Naan,D'Angelo Grilled Sandwiches,80,80,4.0
Pozole,A&w Restaurant,20,20,9.5
Ramyeon,Carls Jr,80,80,6.5
Nasi goreng,Dewey's Pizza,110,110,11.0
Enchiladas,L&L Hawaiian Barbecue,100,100,4.0
Chicken tikka masala,Blimpie Subs & Sandwiches,100,100,3.5
Ga tan,Mc Donald's,60,60,5.5
Vegetable fried rice,Culvers,90,90,7.5
Thai hanglay curry,Shoney's on the Go,20,20,3.0
Gado gado,Blimpie Subs & Sandwiches,20,20,10.5
Fish kidney curry,JCW's,70,70,5.0
Spicy stir fried octopus,A&w Restaurant,20,20,7.0
Kaya toast,Wendy's,60,60,3.0
Sashimi,Taco del Mar,60,60,10.5
Banh xeo,Costa Vida Fresh Mexican Grill,70,70,7.5
Bak chor mee,Ryan's,80,80,3.0
Tofu,Music City Subs,30,30,11.5
Hokkien prawn mee,Burger King Salou,20,20,3.0
Sushi,Chick-fil-A,50,50,5.0
Hokkien prawn mee,Alice's,30,30,3.5
Vegetable fried rice,Teddy's Bigger Burgers,100,100,8.0
Banh khot,Jamjam,40,40,10.5
Sundubu jjigae,Tom's Grill,80,80,11.0
Nasi goreng,Sarku Japan,30,30,10.5
Rau muong,Charlie Browns,70,70,11.0
Tacos al pastor,Roy Rogers,30,30,8.0
Hot and sour soup,Smoothie King,90,90,8.0
Pozole,Rubio's,50,50,4.0
Pork bulgogi,Firehouse Subs,80,80,12.0
Ayam goreng,Bojangles' Famous Chicken 'n Biscuits,20,20,9.0
Nem ran,KFC / Taco Bell,20,20,3.5
Chicken tikka masala,Wienerschnitzel,50,50,9.0
Korma,Roy Rogers,90,90,9.5
Hokkien prawn mee,Lee's Famous Recipe Chicken,40,40,3.5
Soto,Blimpie Subs & Sandwiches,80,80,4.0
Spaghetti Bolognese,31st Avenue Gyro,20,20,11.5
Chicken rice,Pita Pit,20,20,3.0
Thai hanglay curry,Taco John's,80,80,6.5
Beef rendang,Bravo Tacos,100,100,4.0
Murg makhani,Scoopers,50,50,11.0
Cha ca,McDonald’s,60,60,4.5
Szechwan chilli chicken,Frisch's Big Boy,80,80,5.0
Murg makhani,Jollibee,110,110,3.5
Szechwan chilli chicken,Mario's Natural Roman Pizza,90,90,9.5
Sichuan pork,LocoL,80,80,8.0
Spaghetti Bolognese,L&l Hawaiian Barbecue,30,30,4.0
Chicken galangal soup,Ll Hawaiian Barbecue,80,80,3.0
Wanton mee,Cook Out,60,60,10.0
Fried carrot cake,Eagan's Drive-In,80,80,6.0
Chiles en nogada,Don & Millie's,40,40,8.0
Steak,Smoothie King,110,110,7.0
Rau muong,Popeye's Chicken,70,70,3.5
Gogigui,Tellers Tap Room & Kitchen,100,100,9.0
Kimchi stew,Don & Millie's,100,100,8.0
Mole,Ernie's All American Burger,20,20,6.5
Spicy stir fried octopus,In-N-Out Burger,40,40,7.5
Chocolate chip cookie,Popeye's,110,110,7.5
Bottarga,Wingstop,20,20,11.0
Spring rolls,Lukes on Harlem,80,80,5.0
Macaroni and Cheese,Hoka Hoka Bento,40,40,7.0
Hot and sour soup,Sunrise Cafe,110,110,10.5
Beef soup,Taco Delight,80,80,8.0
Donburi,Dairy Queen,70,70,11.0
Cantonese chicken soup,Braum's,40,40,5.0
Cha ca,Dino's Gyros,60,60,10.0
Tostadas,Lee's Oriental Martial Arts,30,30,4.0
Rau muong,Sonic Drive-In,80,80,8.5
Polenta,Mcdonald's - Walmart,40,40,8.5
Nasi goreng,Meatheads,70,70,8.5
Risotto,Port of Subs,100,100,4.0
Chicken rice,J J Fish and Chicken,70,70,12.0
Ga tan,Frisch's Big Boy,100,100,5.0
Spaghetti Bolognese,Pizza Primetime,90,90,8.5
Lasagna,AJ's Hotdogs & Gyros,20,20,10.5
Beef soup,Round Table Pizza,110,110,6.5
Tostadas,Popeyes Chicken and Biscuits,100,100,5.5
Cha ca,Raising Cane's,40,40,3.0
Bhajji,Tom & Jerry's,110,110,11.0
Spaghetti Bolognese,Jack in the Box,70,70,3.0
Dim sum,BGR - The Burger Joint,30,30,5.0
Samgyeopsal,Backyard Burgers,110,110,8.0
Palak paneer,Captain D's,40,40,7.5
Sundubu jjigae,The Honeybaked Ham Company,90,90,4.5
Pork bulgogi,Nick's Burgers,30,30,8.5
Cao lau,Hometown Buffet,20,20,4.0
Bak chor mee,Jamba Juice,60,60,5.5
Chicken tikka masala,TacoTime,40,40,11.5
Sundubu jjigae,Boston Market,100,100,10.5
Spring rolls,Checkers,100,100,12.0
Spaghetti Carbonara,Capriotti's Sandwich Shop,30,30,6.5
Wanton mee,Italian Pizzeria Restaurant,40,40,10.5
Nasi goreng,Papa Gino's,30,30,5.0
Yakitori,Shepard's Drive-In,20,20,12.0
Tom yum goong,Kennedy Fried Chicken & Pizza,70,70,3.5
Spaghetti Carbonara,Jamjam,90,90,12.0
Ribollita,Handy's Lunch,70,70,7.0
Lasagna,Ny Chicken Fish,80,80,4.0
Papdi chaat,Richie's Restaurant,50,50,8.0
Tofu,Subway,110,110,12.0
Soto,Chuck Wagon,60,60,10.5
Udon,Carl's Jr.,40,40,9.0
Bhajji,Hunam Garden,50,50,3.5
Natto,Sammy Carry-Out,50,50,8.0
Chocolate chip cookie,Cody's Cafe,80,80,7.5
Spaghetti Bolognese,Jim's Coney Island,50,50,9.0
Chicken tikka masala,Jolly's Drive-In,40,40,3.5
Beef rendang,Burgerville,80,80,11.5
Chicken tikka masala,Brixton's,40,40,11.5
Yakitori,31st Avenue Gyro,50,50,8.5
Chicken rice,Sonic Drive in,80,80,7.5
Bakso,The Press Club,100,100,3.0
Chicken galangal soup,Jack's,20,20,10.5
Pho,Kettle Restaurant,80,80,10.0
Macaroni and Cheese,Subway,110,110,6.0
Hot and sour soup,Quick,80,80,4.0
Ribollita,Jersey Jacks Eatery,90,90,5.0
Enchiladas,A&W/Long John Silvers,30,30,9.0
Chicken tikka masala,Carls Jr,80,80,10.5
Ramyeon,Portillo's,110,110,6.5
Korma,Ernie's All American Burger,90,90,12.0
Mole,Papa Johns,80,80,3.5
Soba,LocoL,30,30,7.5
Dim sum,Dairy Freeze,90,90,3.0
Spaghetti Bolognese,McDonalds @ Old Atlanta,20,20,9.5
Banh khot,Rally's Hamburgers,80,80,8.0
Bak chor mee,Your Healthy Habit,110,110,4.0
Pozole,Culvers,110,110,6.0
Spring rolls,Arbys,70,70,11.5
Nem ran,ShopRite,30,30,12.0
Samgyeopsal,Hardee's / Red Burrito / Dough Boys,70,70,5.5
Beef soup,Chester's Grill,30,30,8.5
Oyster omelette,Hometown Buffet,50,50,4.5
Ayam goreng,Hardee's,30,30,3.0
Bak kut teh,Mc Donalds,90,90,9.5
Fish stew,Cypress Best,40,40,5.0
Beef rendang,Shot Tower Inn,110,110,4.0
Risotto,Yoshinoya,80,80,11.5
Isaan soup,Kenny's Drive-In,70,70,6.0
Beef rendang,Taco Bell/Pizza Hut Express,70,70,10.5
Paratha,Smoothie King,100,100,3.5
Oyster omelette,Grandy's,110,110,3.0
Ayam penyet,Chester's Grill,50,50,5.0
Soba,Regal Cinemas Tikahtnu  16 IMAX & RPX,50,50,11.5
Kimchi,Pizza Hut,80,80,10.0
Cheeseburger,Froots,20,20,11.5
Chole,Hoka Hoka Bento,90,90,5.0
Papdi chaat,Lukes on Harlem,100,100,10.0
Banh xeo,Taco Local,110,110,12.0
Macaroni and Cheese,Pizza Hut,50,50,9.5
Kimchi stew,Omega Drive-In,90,90,5.5
Polenta,Tudor's Biscuit World,30,30,8.5
Fried chicken,Shot Tower Inn,80,80,7.5
Doughnut,Thrashers French Fries,60,60,3.5
Cao lau,Subway - Roland Park,40,40,4.0
Bak chor mee,Carl's Jr. / Green Burrito,60,60,6.5
Steak,Steak 'N Shake,100,100,4.0
Sundubu jjigae,Pizza Hut,60,60,10.5
Isaan soup,Charlie's Chicken,70,70,4.0
Spicy stir fried octopus,Northeastern State University,40,40,10.0
Gado gado,Burgerville,20,20,9.0
Chicken galangal soup,Foster's Freeze,100,100,4.5
Isaan soup,Italian Pizzeria Restaurant,70,70,9.0
Tofu,Breadeaux Pizza,20,20,7.0
Chiles en nogada,Taco del Mar,70,70,5.0
Bottarga,DQ Grill & Chill / Orange Julius,30,30,4.0
Chicken with chestnuts,Mr Char-Burger,20,20,4.5
Mole,Taco Mayo,60,60,11.0
Risotto,Cousins Subs of Green Bay - Oneida St. & Ramada Way,70,70,7.5
Vegetable fried rice,Handy's Lunch,100,100,5.5
Nem ran,Sensenig Poultry LLC,40,40,8.0
Polenta,Rally's Hamburgers,60,60,4.5
Chicken tikka masala,J J Fish and Chicken,40,40,3.5
Pork bulgogi,Taco John's,20,20,3.0
Tacos al pastor,McDonalds @ Old Atlanta,30,30,11.0
Dim sum,Firehouse Subs,40,40,9.5
Rawon,Jollibee,50,50,7.5
Ga tan,Chuck Wagon,30,30,5.5
Vegetable fried rice,Nielsen's Frozen Custard,50,50,4.0
Kimchi stew,Papa Johns Pizza,70,70,10.0
Cao lau,Long John Silver's,100,100,10.0
Coconut milk curry,DQ Woodlands,70,70,5.5
Coconut milk curry,Goodcents Deli Fresh Subs,60,60,5.5
Cha ca,Garden Catering,70,70,10.0
Sundubu jjigae,Lenny's Sub Shop,110,110,11.5
Enchiladas,The Pizza Pipe Line,40,40,10.5
Hash browns,Hoka Hoka Bento,100,100,10.5
Stir fried tofu with rice,Mazatlan Mexican Restaurant,60,60,6.0
Rujak cingur,Flash Foods / McDonald's,20,20,8.5
Hokkien prawn mee,Culvers,20,20,9.0
Curry fish head,Love's,20,20,4.0
Spaghetti Carbonara,Roy Rogers,100,100,7.0
Ribollita,Port of Subs,70,70,11.5
Bhajji,Chick-fil-a Orange Avenue,60,60,6.0
Beef soup,McDonald's,60,60,10.0
Ayam penyet,Taqueria,70,70,4.0
Cha ca,Culver's,30,30,10.0
Bibimbap,BGR - The Burger Joint,30,30,7.5
Spaghetti Aglio Olio,Carl's Jr,60,60,8.0
Nasi goreng,Sheetz,50,50,7.0
Chicken galangal soup,Del Taco,100,100,5.5
Rujak cingur,Schlotzsky's,30,30,11.5
Gogigui,Dairy Queen Grill & Chill,50,50,7.0
Mole,OMG! Rotisserie,30,30,4.5
Banh khot,Kettle Restaurant,90,90,7.5
Spaghetti Bolognese,Topper's Pizza,50,50,11.0
Oyster omelette,b.good,100,100,11.0
Spaghetti Bolognese,Original Tracks,20,20,5.0
Mole,Boston Market 381,90,90,11.0
Boiled vegetable soup,Popeye's Louisiana Kitchen,40,40,4.0
Sate,Red Robin Gourmet Burgers,110,110,7.5
Chicken with chestnuts,Whataburger,50,50,5.0
Coconut milk curry,China King,110,110,7.0
Stir fried tofu with rice,Bamboo Bistro,70,70,9.5
Chole,Dq Grill & Chill,80,80,11.0
Chicken galangal soup,Tommy's Sub Shop,100,100,8.0
Apple pie,Chicago Union Station Food Court,100,100,6.5
Thai hanglay curry,DQ Grill & Chill / Orange Julius,50,50,8.0
Bhajji,Whataburger,100,100,8.0
Rau muong,Rocky's,50,50,4.5
Tostadas,Wings N' More Wings,60,60,5.0
Donburi,Windmill Gourmet Fast Foods,100,100,10.0
Cha ca,King Grill,60,60,3.0
Polenta,Loco Moco Drive-Inn,90,90,4.0
Apple pie,Taco Time,100,100,7.0
Vegetable fried rice,Boston Market 381,60,60,9.0
Pho,Zaxby's,90,90,11.0
Sichuan pork,Subway (johnson) @ Jonesboro,90,90,7.0
Noodles,A&W All American Food,20,20,7.5
Cao lau,Burgerville,110,110,8.5
Dim sum,Alice's,50,50,5.5
Bun bo hue,Arbys,40,40,7.0
Noodles,Pei Wei,50,50,5.0
Naan,Taco Delight,40,40,7.0
Thai hanglay curry,Hegenburgers,30,30,12.0
Risotto,Sonic,100,100,10.5
Kimchi,Rocky's,50,50,8.5
Wanton mee,Cook-Out,80,80,11.0
Chicken galangal soup,Baja Fresh Mexican Grill,110,110,9.5
Hokkien prawn mee,Carl's Jr - Green Burrito,50,50,4.0
Bhajji,Waffle House,110,110,6.0
Oyster omelette,Hub City Express,90,90,10.5
Elote,Portillo's,50,50,8.5
Beef soup,Jack in the Box,70,70,8.5
Beef rendang,Tom's Drive In,50,50,4.5
Thai hanglay curry,Church's Chicken,90,90,9.5
Bibimbap,Steak N Shake,100,100,4.0
Nasi goreng,Cousins Subs,110,110,9.5
Sundubu jjigae,Steak Escape,60,60,9.5
Risotto,Pop-A-Nugget,50,50,3.5
Chocolate chip cookie,Taqueria,100,100,11.0
Chocolate chip cookie,Taco Bueno,110,110,7.0
Hash browns,Jersey Mike's Subs,110,110,9.5
Paratha,Charleys Philly Steaks,60,60,6.0
Natto,Omelette House,80,80,11.0
Wanton mee,McLaren's Pantry,100,100,5.5
Ayam goreng,Popeye's Chicken & Biscuits,40,40,5.5
Curry fish head,Steak 'N Shake,40,40,11.5
Sate,D'angelo Grilled Sandwiches,20,20,3.0
Sundubu jjigae,Your Healthy Habit,90,90,12.0
Fish kidney curry,Royal Buffet,100,100,7.5
Chicken with chestnuts,Steak 'n Shake,70,70,11.5
Natto,Jimmy Johns,100,100,11.0
Mole,Omega Drive-In,30,30,8.0
Fried chicken,Blimpie,70,70,8.5
Steak,Checker's,80,80,12.0
Steak,b.good,40,40,3.0
Tacos al pastor,Gyros Kings,80,80,6.0
Samgyeopsal,Subway (johnson) @ Jonesboro,110,110,6.0
Tandoori chicken,Waffle House,60,60,7.5
Rujak cingur,Carl's Jr - Green Burrito,40,40,7.5
Polenta,Sonic Drive-in,50,50,5.0
Chicken rice,Kfc,70,70,9.0
Sushi,Farmer Boys,100,100,5.5
Macaroni and Cheese,Sonic Drive in,40,40,6.5
Green curry chicken,Coop DeVille,90,90,7.0
Wanton mee,Wetzel's Pretzels,60,60,11.5
Gogigui,Raising Cane's,90,90,3.0
Ayam penyet,Comilao Lanches Bakery,30,30,4.0
Banh xeo,Pizza Primetime,50,50,7.5
Kimchi stew,Maria's Fry Bread & Mexican Food,20,20,4.0
Chilaquiles,Chick-Fil-A,60,60,5.0
Chicken wings,Pei Wei,80,80,11.5
Tempura,Madison Street Subs,40,40,4.0
Pork bulgogi,Baja Fresh,60,60,8.5
Pho,Pick Up Stix,60,60,7.0
French fries,Geno's Fast Break,30,30,11.0
Ga tan,Iceberg Drive Inn,80,80,9.5
Banh xeo,Port Of Subs,80,80,11.5
Tom yum goong,Jim Bob's Chicken Fingers,100,100,7.0
Ga tan,Buds Chicken & Seafood,50,50,8.0
Lasagna,Smoothie King,50,50,9.0
Kaya toast,Chuck Wagon,30,30,9.0
Natto,Mr Char-Burger,90,90,10.5
Cantonese chicken soup,SUBWAY,70,70,4.0
Tom yum goong,Kerby's Koney Island,60,60,8.0
Enchiladas,Greek Oven Pizza and Wings,80,80,6.0
Thai hanglay curry,Cinnabon,40,40,7.0
Tempura,Wetzel's Pretzels,80,80,3.0
Cantonese chicken soup,Iceberg Drive Inn,100,100,10.5
Cao lau,Aw Restaurant,60,60,6.5
Tacos al pastor,Carls Jr. / Green Burrito,70,70,7.0
Bottarga,7-Eleven,70,70,3.0
Hash browns,Little Caesar's Pizza Smithfield,100,100,3.0
Banh khot,Yoshinoya,60,60,3.0
Pho,A&W/Long John Silvers,90,90,5.5
Sundubu jjigae,Petro's Chili & Chips,30,30,12.0
Hash browns,Nick's Burgers,30,30,3.5
Tamales,Paesano's,40,40,9.5
Tacos al pastor,Jimmy Johns,30,30,9.0
Cha ca,Cusinera,60,60,8.5
Bibimbap,Chick-fil-A,30,30,10.5
Pozole,Sonic Drive in,20,20,10.0
Nem ran,Wienerschnitzel,60,60,10.0
Rujak cingur,Chick-fil-a Truett's Luau,70,70,11.0
Kaya toast,Jersey Mike's Subs,90,90,6.0
Stir fried tofu with rice,Backyard Burgers,50,50,5.5
Ribollita,A&W All-American Foods,70,70,4.5
Oyster omelette,Taco John's,90,90,9.5
Fried chicken,Rafael's,20,20,9.0
French fries,Schlotzsky's,90,90,4.0
Dim sum,Chick-fil-a Superstition Springs Center,20,20,4.5
Kimchi,Panera Bread,90,90,8.5
Tofu,Teddy's Bigger Burgers,100,100,12.0
Soba,Nielsen's Frozen Custard,80,80,11.0
Ribollita,Pizza Hut,80,80,3.5
Hot and sour soup,Papa Gino's,20,20,11.5
Apple pie,Sheetz,70,70,3.0
Curry fish head,Mcdonald's - Walmart,80,80,5.5
Sashimi,Waffle House,90,90,9.0
Spaghetti Bolognese,Crown Fried Chicken,40,40,6.0
Goi cuon,King Grill,20,20,10.0
Ramyeon,Sconecutter,30,30,5.5
Green curry chicken,Original Tracks,90,90,10.5
Murg makhani,Long John Silvers,100,100,8.5
Chiles en nogada,Popeyes Chicken and Biscuits,80,80,7.0
Donburi,Rahway Chicken & Burger Inc,50,50,7.5
Fried chicken,McDonald’s,50,50,6.5
Elote,Old Country Buffet,80,80,5.5
Naan,Rallys,90,90,4.0
Pork bulgogi,Garden Fast Food,110,110,9.0
Spaghetti Bolognese,McDonalds,20,20,11.0
Szechwan chilli chicken,Froots,110,110,10.5
Coconut milk curry,Mazatlan Mexican Restaurant,30,30,3.5
Apple pie,Braum's Ice Cream & Dairy Store,100,100,7.5
Noodles,Yellow Cab Pizza Co.,30,30,4.5
Laksa,The Pita Pit,40,40,3.5
Sundubu jjigae,Thunder Ridge Ampride,80,80,9.5
Sundubu jjigae,The Pizza Pipe Line,70,70,7.0
Pizza,Fatburger,110,110,11.5
Fried carrot cake,Smashburger,50,50,7.0
Pozole,Saladworks,90,90,3.0
Cantonese chicken soup,KFC,50,50,8.0
Fish stew,Lukes on Harlem,110,110,10.5
Tandoori chicken,Subway Citgo of Quarryville,40,40,8.0
Chole,Chris' Drive-In,110,110,7.5
Palak paneer,Thrashers French Fries,90,90,4.0
Ayam goreng,Yoshinoya,30,30,11.0
Mole,Ball State Lafollette Dining,20,20,6.0
Boiled vegetable soup,name,30,30,4.0
French fries,Chick-Fil-A,100,100,9.5
Cheeseburger,Subway - Roland Park,30,30,8.0
Paratha,El Paragua Restaurant,40,40,10.0
Sour soup,Garden Fast Food,70,70,3.0
Ga tan,Froots,100,100,10.5
Kimchi stew,Burgerville,50,50,10.0
Bak kut teh,Handy's Lunch,60,60,11.5
Wanton mee,Sheetz,60,60,8.0
